index,Symbol,TimeStamp,Close,Open,High,Low,ema9,ema21,ema50,ema200,vwap,ATR,K_slow,D_slow,ST_Lowerband,ST_Upperband,Position,Value,OrderType,P/L
32,TSLA,12-30-2022 12:40:00 PM,121.75,121.75,121.81,121.63,121.79462292979608,121.7159387701128,121.58877842523849,121.48017429772281,121.54843999825924,0.31571428571428684,58.57130550889436,70.26440828372702,121.60879864560036,,5,608.75,SELLSHORTSTOCK,0.0
48,TSLA,12-30-2022 01:12:00 PM,121.26,121.17,121.43,121.14,121.3216304903238,121.46610020090564,121.52195025799097,121.47963167145738,121.53413176674681,0.259285714285716,13.084112149532404,14.39484028817451,,121.52572237851166,-5,-606.3000000000001,BUYTOCOVERSTOCK,2.449999999999932
50,TSLA,12-30-2022 01:16:00 PM,121.13,121.15,121.31,121.08,121.25584351380724,121.40942165364102,121.49256538617313,121.47290546821574,121.52261242639787,0.25500000000000156,9.0974965475159,11.237017531228412,,121.4813499488907,5,605.65,SELLSHORTSTOCK,0.0
80,TSLA,12-30-2022 02:16:00 PM,120.99,121.04,121.1,120.94,121.04087112603071,121.13038461959717,121.25204921888414,121.39201895095341,121.39524263201027,0.21571428571428544,11.904761904762312,36.2096044680316,,121.21775619400726,-5,-604.9499999999999,BUYTOCOVERSTOCK,0.7000000000000455
257,TSLA,01-03-2023 08:10:00 AM,118.0,118.41,118.5,117.98,119.9825747681428,121.4464419981119,122.31423050004996,122.44680215914111,121.81385125138036,0.6964285714285704,24.272770624702,56.96202057360887,,119.34305162492878,5,590.0,SELLSHORTSTOCK,0.0
286,TSLA,01-03-2023 09:08:00 AM,118.96,118.72,119.05,118.72,118.73373924124743,118.7421296141486,119.66200581335231,121.42606509842396,121.7480339045178,0.38285714285714484,75.41666666666637,76.37491536744278,118.5244443065996,,-5,-594.8,BUYTOCOVERSTOCK,-4.7999999999999545
420,TSLA,01-03-2023 01:36:00 PM,105.74,105.5,105.75,105.45,105.4004663515818,105.3747049511162,106.05032064229933,111.63889713538047,114.09651681057696,0.3421428571428576,78.36257309941497,44.54168363934128,105.22159559322925,,-5,-528.6999999999999,BUYSTOCK,0.0
470,TSLA,01-03-2023 03:16:00 PM,108.06,107.72,108.48,107.61,107.92411194040255,107.86676930139826,107.37069460403755,109.91603602116368,112.99536576172707,0.5707142857142884,37.788986316960234,50.38319085308543,,108.17764091127462,5,540.3,SELLSTOCK,11.600000000000023
485,TSLA,01-03-2023 03:46:00 PM,107.99,107.85,108.16,107.75,107.95233127296856,107.93406992494758,107.63042247462366,109.64056664023074,112.76726622928352,0.5021428571428572,42.311785049215196,43.055092573727464,,108.37988651036189,5,539.9499999999999,SELLSHORTSTOCK,0.0
index,Symbol,TimeStamp,Close,Open,High,Low,ema9,ema21,ema50,ema200,vwap,ATR,K_slow,D_slow,ST_Lowerband,ST_Upperband,Position,Value,OrderType,P/L
62,QQQ,12-30-2022 01:16:00 PM,264.01,264.13,264.21,264.0,264.1995968623868,264.26735653711927,264.2469967200715,264.13581578064776,264.1183876970413,0.2557142857142968,11.594202898549286,32.73432978581747,,264.35735928014356,5,1320.05,SELLSHORTSTOCK,0.0
156,QQQ,12-30-2022 04:24:00 PM,266.89,266.93,266.96,266.89,266.75782062836464,266.2677685348415,265.38602970924114,264.39027002440423,264.63129546912904,0.17571428571429237,97.18050489880586,97.65072751286672,266.67201604724164,,-5,-1334.4499999999998,BUYTOCOVERSTOCK,-14.399999999999864
182,QQQ,12-30-2022 05:16:00 PM,266.61,266.64,266.64,266.61,266.64573568595677,266.6509711065483,266.24929523407707,264.9292653593093,264.65817374795347,0.03857142857143003,10.867446393766956,9.660029817927972,,266.6865546082626,5,1333.0500000000002,SELLSHORTSTOCK,0.0
255,QQQ,01-03-2023 08:06:00 AM,268.42,268.52,268.56,268.41,267.7799749451096,267.3512612085738,267.04088881605793,265.96735636443265,264.6867715735043,0.3007142857142761,66.58036774315924,81.92566071055089,267.89340297787516,,-5,-1342.1000000000001,BUYTOCOVERSTOCK,-9.049999999999955
403,QQQ,01-03-2023 01:02:00 PM,262.7,262.76,262.84,262.68,262.6806847492588,262.79186281133474,263.17945076617855,264.89571676044284,265.0202412450125,0.29071428571429336,43.70860927152385,31.019601985095655,262.38773682892105,,5,1313.5,SELLSHORTSTOCK,0.0
407,QQQ,01-03-2023 01:10:00 PM,262.56,262.62,262.67,262.47,262.6298484732965,262.73115826195937,263.09421148555924,264.80587618174553,265.0048280344178,0.27714285714286496,29.359823399558334,29.646799116998118,262.38773682892105,,-5,-1312.8,BUYTOCOVERSTOCK,0.7000000000000455
419,QQQ,01-03-2023 01:34:00 PM,263.4,263.38,263.45,263.28,263.08917882996235,262.90122398386785,263.02593847636,264.58814715363604,264.9547028024215,0.29428571428572275,85.71428571428349,53.163745504098436,262.9770284531067,,5,1317.0,SELLSHORTSTOCK,0.0
487,QQQ,01-03-2023 03:50:00 PM,264.53,264.46,264.74,264.46,264.4884849146349,264.4692101905098,264.21389535918354,264.3362290779267,264.83103345114836,0.28714285714286397,28.201799930771227,40.76811343376408,264.38203128536617,,-5,-1322.6499999999999,BUYTOCOVERSTOCK,-5.649999999999864
490,QQQ,01-03-2023 03:56:00 PM,264.48,264.55,264.81,264.31,264.5057842762931,264.48368909880526,264.24952360036934,264.3419480301126,264.82732373571645,0.3278571428571532,35.576923076922945,35.88628010062333,264.38203128536617,,5,1322.4,SELLSHORTSTOCK,0.0
492,QQQ,01-03-2023 04:00:00 PM,264.46,264.55,264.64,264.43,264.5021019368276,264.48618933785554,264.2687220932283,264.3450737343256,264.82138613744826,0.3235714285714388,32.87879254265716,31.573004573640617,264.38203128536617,,-5,-1322.3,BUYTOCOVERSTOCK,0.10000000000013642
index,Symbol,TimeStamp,Close,Open,High,Low,ema9,ema21,ema50,ema200,vwap,ATR,K_slow,D_slow,ST_Lowerband,ST_Upperband,Position,Value,OrderType,P/L
28,NVDA,12-30-2022 11:06:00 AM,143.98,143.96,144.06,143.82,144.0321794275024,144.0259564098689,143.94344461823434,143.80669051585107,144.06287740630265,0.33499999999999985,43.981481481480365,,,144.31169962819263,5,719.9,SELLSHORTSTOCK,0.0
71,NVDA,12-30-2022 12:32:00 PM,144.64,144.61,144.69,144.54,144.60676561073674,144.53060842680446,144.32922725822277,143.98087812763634,144.12170723886837,0.19857142857142865,53.571428571428704,74.01121509716424,144.49465400539333,,-5,-723.1999999999999,BUYTOCOVERSTOCK,-3.2999999999999545
112,NVDA,12-30-2022 01:54:00 PM,144.24,144.18,144.25,144.17,144.21055706165214,144.2628417881337,144.35052817659638,144.1357727303331,144.21275819933825,0.20214285714285804,54.24242424242428,48.514993714966565,144.0219167174637,,5,721.2,SELLSHORTSTOCK,0.0
238,NVDA,12-30-2022 06:58:00 PM,146.36,146.37,146.37,146.36,146.3335694344513,146.33862016584794,146.22270580860277,145.2788777471217,144.66327069006178,0.052857142857143505,56.410256410259215,36.14493614493882,146.29819348431553,,-5,-731.8000000000001,BUYTOCOVERSTOCK,-10.600000000000023
300,NVDA,01-03-2023 09:36:00 AM,147.61,148.4,148.68,147.3,148.22118273651347,148.32088478658798,148.01704675180605,146.500888774736,144.90366111541573,0.5821428571428494,38.1578947368427,59.36299686414118,,148.4439122014263,5,738.0500000000001,SELLSHORTSTOCK,0.0
371,NVDA,01-03-2023 11:58:00 AM,141.49,141.41,141.52,141.18,141.59547624224,141.79802218009294,142.65547617573552,144.77933984226192,144.5463470193372,0.4885714285714308,34.12698412698398,34.292962707632526,,141.88386865466026,-5,-707.45,BUYTOCOVERSTOCK,30.600000000000023
485,NVDA,01-03-2023 03:46:00 PM,143.03,143.24,143.32,142.96,143.25044557458796,143.25144327225996,143.01536764119538,143.3166731824224,144.0762982604193,0.3257142857142798,26.60644384221654,46.39478853520317,,143.51888996619297,5,715.15,SELLSHORTSTOCK,0.0
490,NVDA,01-03-2023 03:56:00 PM,143.12,143.22,143.53,143.0,143.212792405881,143.23282343621582,143.04986433944578,143.31134470702236,144.06025055187285,0.3328571428571386,18.749999999998952,31.41846803192176,,143.5150009695737,-5,-715.6,BUYTOCOVERSTOCK,-0.4500000000000455
index,Symbol,TimeStamp,Close,Open,High,Low,ema9,ema21,ema50,ema200,vwap,ATR,K_slow,D_slow,ST_Lowerband,ST_Upperband,Position,Value,OrderType,P/L
5,SPY,12-30-2022 11:10:00 AM,380.59,380.49,380.65,380.36,380.45869760000005,380.41571359383045,380.39095835716114,380.3755062656683,380.45771301893336,,,,,,-5,-1902.9499999999998,BUYSTOCK,0.0
31,SPY,12-30-2022 12:02:00 PM,380.61,380.74,380.85,380.56,380.48477663104313,380.37308823522994,380.32741757312704,380.34622748169795,380.25984564301785,0.24857142857143394,84.82384823848254,70.74675526251356,380.39456569125366,,5,1903.0500000000002,SELLSTOCK,0.1000000000003638
33,SPY,12-30-2022 12:06:00 PM,380.58,380.72,380.76,380.46,380.54145704386764,380.4205687894462,380.35211441487047,380.35223569967883,380.2746987841201,0.2442857142857154,81.84281842818412,73.53657760518101,380.39456569125366,,5,1902.8999999999999,SELLSHORTSTOCK,0.0
43,SPY,12-30-2022 12:26:00 PM,380.85,380.84,380.92,380.79,380.7621090827501,380.6258682981881,380.4794144490525,380.38809549753125,380.35690822816446,0.23214285714284902,91.13924050633197,80.6143349545761,380.59546322039944,,-5,-1904.25,BUYTOCOVERSTOCK,-1.3500000000001364
46,SPY,12-30-2022 12:32:00 PM,380.68,380.78,380.88,380.67,380.7297198503681,380.64293636227507,380.5036656377757,380.39712062072124,380.3753463056628,0.2421428571428521,66.244725738397,78.49605427809918,380.59546322039944,,5,1903.4,SELLSHORTSTOCK,0.0
